,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
32,2014-05-07,CCC,-7.62,25.9,-7.58,1.29,-26.67,3.93,-10.63,-7.75,-3.33,0.0,-7.19,-5.47,-12.06,-9.34,-5.47,0.63,-26.44,15.51,5.76,6.33,-0.06,-0.87,0.99,-53.75,-22.25,-1.71,-1.1
33,2014-08-27,CCC,-4.62,-19.46,6.15,-11.39,1.27,3.5,-7.0,-16.83,8.59,2.34,38.92,34.75,40.91,31.62,0.89,-7.28,25.94,-0.99,2.55,1.57,0.16,0.87,5.94,12.93,-4.3,-5.54,-13.22
34,2014-11-06,CCC,2.5,53.56,-2.52,34.48,-6.73,-16.96,2.14,22.55,-4.08,2.28,-0.31,-17.4,-5.54,-9.43,-0.06,37.33,5.57,3.81,4.71,11.64,2.86,3.79,-11.08,15.55,-3.35,-0.62,-33.46
35,2015-02-23,CCC,-2.68,-44.65,0.69,-28.52,-8.24,-10.8,-21.91,-20.81,-3.18,-8.45,-7.35,5.08,-10.72,0.98,7.9,3.2,-8.3,-14.64,-14.55,-28.65,-0.06,-3.18,6.1,60.38,3.45,11.62,39.39
36,2015-05-07,CCC,24.06,1.66,2.41,50.32,29.52,7.6,54.3,26.6,-11.44,-33.8,-12.73,-6.04,-5.44,-4.09,0.11,-23.0,-31.91,24.95,8.27,31.69,-1.08,2.07,-1.76,-43.62,-12.9,-8.68,-14.28
37,2015-08-25,CCC,-4.44,24.28,1.06,-12.71,17.38,-13.12,-11.45,-3.84,14.26,32.76,-3.79,-7.46,-4.07,-7.0,9.33,9.13,24.45,-17.52,-2.57,-11.56,2.21,-2.3,-4.66,51.68,15.6,5.03,10.34
38,2015-11-06,CCC,-4.01,1.05,22.7,0.86,33.07,58.79,39.43,6.38,-6.69,-18.73,-21.16,-24.03,-17.58,-20.94,3.71,-10.21,-48.39,10.36,1.47,-2.12,-0.79,0.74,6.78,-38.11,4.86,-3.87,3.6
39,2016-02-25,CCC,-11.85,-11.63,11.99,1.37,-30.1,1.57,-37.31,3.82,37.4,80.24,-10.86,4.2,-4.39,-2.07,-7.23,26.7,93.4,-5.46,-13.8,-26.12,-7.2,1.49,4.34,37.24,-6.45,0.37,-4.16
40,2016-05-12,CCC,5.6,,-9.45,-1.23,0.77,-8.16,-2.88,-7.34,-1.53,-10.28,3.78,11.75,-29.66,4.37,8.04,5.3,72.19,-3.67,9.95,15.26,5.4,-2.62,-10.59,-28.07,5.54,4.01,36.02
41,2016-08-25,CCC,29.42,,8.98,11.87,34.38,14.79,27.14,18.07,0.0,-12.37,2.97,-0.47,9.33,3.51,2.48,-2.49,-18.52,-4.61,0.77,-3.65,-1.8,2.18,1.79,24.94,-10.99,-6.99,-25.3
42,2016-11-10,CCC,-8.53,,1.25,7.85,-14.3,13.58,5.26,4.48,-27.01,2.15,21.63,1.74,8.36,13.95,-1.18,4.31,-49.39,-24.6,0.12,12.87,2.81,-2.96,0.68,19.92,1.72,1.55,-17.73
43,2017-02-28,CCC,7.85,,-16.46,-7.85,-9.13,-11.19,-20.93,-14.78,23.58,19.12,-6.47,-9.46,21.89,11.9,-4.76,8.5,16.25,-12.86,3.0,8.93,-5.23,1.24,3.43,37.18,7.66,8.55,7.35
44,2017-05-15,CCC,-10.97,,6.11,5.4,4.59,7.38,28.46,15.71,-12.05,-36.92,-16.13,-0.68,3.62,-24.95,-0.41,-30.36,-3.55,8.3,-0.61,-2.36,5.97,-4.09,-0.82,-62.25,-0.81,-6.17,4.5
45,2017-08-31,CCC,43.09,,60.7,12.5,41.15,18.05,1.0,4.43,-30.99,17.71,29.67,11.38,8.73,15.53,3.73,7.86,61.35,26.09,-1.2,-5.65,-1.77,7.17,0.94,31.34,-1.34,2.06,-13.64
46,2017-11-13,CCC,-4.67,,-18.5,-12.8,-17.37,3.28,-9.09,-12.71,38.42,40.0,25.0,22.29,22.25,4.95,0.38,2.14,11.14,12.15,11.08,31.9,-2.73,-3.11,2.19,7.21,-14.4,-2.77,7.83
47,2018-05-14,CCC,16.43,,21.2,21.76,-0.52,14.81,1.32,21.81,37.41,34.67,3.79,18.69,-22.32,13.43,18.3,9.69,-1.24,14.51,4.37,9.23,7.3,0.71,1.56,-45.34,-18.97,-0.62,-8.48
48,2018-08-23,CCC,-19.29,,-27.02,-28.84,-27.91,-32.15,-26.95,-29.93,16.59,5.63,16.78,12.27,24.47,7.57,1.04,26.22,-33.02,7.94,-1.92,-0.44,-3.6,5.55,-5.57,44.43,4.6,-8.07,-12.29
49,2018-11-08,CCC,-18.01,,-24.81,-11.68,-0.95,-19.38,-23.03,5.67,-19.02,-15.45,-2.84,-7.47,-4.58,-22.32,-1.76,-6.89,54.46,-26.12,14.63,30.93,7.69,-1.3,1.17,-36.0,-18.98,-6.59,-20.45
50,2019-05-15,CCC,45.82,,27.38,86.86,23.24,83.13,81.63,37.53,13.93,52.6,-7.13,3.97,-15.43,18.78,6.67,7.92,4.62,0.27,34.57,92.11,49.13,-11.3,-40.75,-58.22,-29.88,-25.57,-11.97
51,2019-09-03,CCC,-11.0,,-4.1,,16.65,2.11,-2.89,-26.36,24.56,-10.21,-16.67,6.94,-17.58,-17.91,-1.12,-17.13,-34.64,-7.59,0.09,-0.81,-0.34,-2.15,-10.24,13.22,8.92,-2.19,0.9
52,2019-10-30,CCC,-33.09,,-38.38,,-26.32,-15.2,-16.2,7.78,-17.15,-12.32,0.45,-3.9,5.6,-14.73,-0.28,0.92,-14.71,22.59,1.16,9.49,1.4,0.13,-3.01,14.45,-7.76,1.78,-16.66
53,2020-04-24,CCC,-37.86,,-39.86,,,-6.43,3.0,-27.81,-47.01,-43.75,-11.49,-35.37,-10.9,-11.46,6.19,-12.77,-7.77,17.28,3.75,7.28,-2.21,-1.26,2.72,-48.24,-15.53,-4.06,-7.17
54,2020-09-30,CCC,21.3,,32.15,,,-3.12,-26.2,29.81,-83.58,-76.44,-15.87,-91.98,-1.49,-65.83,-0.08,-35.08,-76.31,-19.25,-2.11,-2.79,-3.22,-0.76,4.54,139.88,40.15,8.76,25.61
55,2020-10-27,CCC,-11.5,,0.64,,,-8.94,13.85,1.17,317.17,166.04,15.43,947.06,34.55,125.26,-1.57,40.46,171.57,9.26,-3.6,-12.61,-3.89,1.4,-2.12,-0.13,-7.75,-5.67,3.41
56,2021-05-31,CCC,30.48,,48.5,,,35.76,36.28,16.07,-0.3,48.23,32.05,317.5,39.61,110.67,3.5,29.54,201.62,5.16,-5.41,-16.06,-2.36,8.48,1.78,-38.04,-12.81,-1.1,14.75
57,2021-10-13,CCC,25.33,,34.5,,,-3.3,33.63,23.05,53.26,54.68,48.74,47.9,0.4,23.07,2.48,32.97,-61.1,-29.07,-0.99,0.81,-1.7,-7.26,4.35,97.06,23.5,13.57,4.62
58,2021-11-24,CCC,-12.5,,10.88,,,1.79,32.56,-21.7,25.89,33.37,11.23,-0.4,3.95,1.73,3.58,3.19,337.39,169.98,-0.34,3.07,-2.99,1.89,10.62,-19.5,-2.49,3.42,-13.29
