,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
10,ATR,2019-03-14,123271.0,115271.0,1409.0,12883.0,-6292.0,-59.0,989.0,-7340.0,33.0,894.0,4.0,-8197.0,0.0,-8197.0,0.0,-7946.0,-7946.0,29156.0,499.0,26631.0,0.0,1690.0,336.0,48994.0,1124.0,43222.0,3490.0,1281.0,1158.0,0.0,78150.0,29672.0,4615.0,0.0,19457.0,0.0,2977.0,26990.0,11316.0,0.0,769.0,587.0,45501.0,6426.0,0.0,78150.0,-12238.0,2187.0,-213.0,307.0,8210.0,0.0,0.0,-4241.0
11,ATR,2020-04-10,86417.0,77113.0,2249.0,8229.0,-1174.0,3037.0,844.0,1019.0,115.0,839.0,0.0,295.0,0.0,295.0,-64.0,2316.0,2316.0,28889.0,49.0,24450.0,0.0,1732.0,2658.0,51625.0,1371.0,42126.0,6196.0,212.0,1932.0,0.0,80514.0,31988.0,4615.0,0.0,19457.0,0.0,2031.0,18852.0,11995.0,0.0,871.0,1003.0,46495.0,14777.0,0.0,80514.0,2243.0,2387.0,-2959.0,632.0,-353.0,0.0,0.0,-1069.0
12,ATR,2021-03-20,100561.0,88361.0,1928.0,8951.0,1321.0,5489.0,299.0,6511.0,544.0,1027.0,0.0,6028.0,0.0,6028.0,0.0,6176.0,6176.0,30851.0,10.0,12421.0,2771.0,13083.0,2566.0,70181.0,338.0,58166.0,10402.0,2698.0,1275.0,0.0,101032.0,38736.0,4615.0,0.0,19457.0,0.0,5119.0,42803.0,6329.0,0.0,1507.0,1803.0,57177.0,6538.0,0.0,101032.0,8768.0,2479.0,1123.0,0.0,-7405.0,0.0,0.0,2486.0
13,ATR,2022-03-25,110740.0,95367.0,1872.0,10023.0,3478.0,1625.0,467.0,4636.0,957.0,2373.0,0.0,3220.0,0.0,3220.0,0.0,2530.0,2530.0,28754.0,2.0,11394.0,2409.0,13022.0,1927.0,57690.0,314.0,45787.0,8556.0,66.0,3033.0,0.0,86444.0,35175.0,4615.0,0.0,19457.0,0.0,4390.0,27421.0,7870.0,0.0,1208.0,1451.0,46879.0,10380.0,0.0,86444.0,3378.0,2276.0,173.0,485.0,-6183.0,0.0,6092.0,-2632.0
14,ATR,2023-04-03,142405.0,119676.0,2717.0,12122.0,7890.0,1267.0,328.0,8829.0,1643.0,2805.0,0.0,7667.0,0.0,7667.0,0.0,5954.0,5954.0,29895.0,1.0,9709.0,2727.0,14513.0,2945.0,83758.0,240.0,58291.0,25227.0,150.0,0.0,0.0,113653.0,40114.0,4615.0,0.0,19457.0,0.0,6805.0,36131.0,10055.0,0.0,1119.0,2738.0,66734.0,19429.0,0.0,113653.0,15878.0,2080.0,-15339.0,540.0,-455.0,0.0,1015.0,84.0
15,ATT,2008-06-19,1352156.0,1108307.0,61054.0,97418.0,85377.0,25691.0,21933.0,89135.0,22474.0,23802.0,93.0,87900.0,0.0,87900.0,0.0,74657.0,72545.0,1047354.0,16728.0,924836.0,594.0,68972.0,36224.0,556892.0,136791.0,166661.0,253433.0,45333.0,0.0,7.0,1604246.0,1153865.0,195582.0,0.0,209990.0,3466.0,224365.0,161294.0,21174.0,0.0,26232.0,174142.0,222550.0,13850.0,0.0,1604246.0,62174.0,72887.0,-380990.0,145812.0,309736.0,285571.0,1000.0,-9080.0
16,ATT,2009-04-30,1214638.0,1051564.0,64713.0,99720.0,-1359.0,15791.0,28785.0,-14353.0,51301.0,44110.0,33.0,-7129.0,0.0,-7129.0,0.0,-3740.0,-4249.0,989463.0,22219.0,902639.0,1355.0,25386.0,37864.0,591855.0,180874.0,154182.0,256186.0,246485.0,0.0,613.0,1581318.0,1111132.0,195582.0,0.0,209990.0,2163.0,199778.0,143372.0,110201.0,0.0,1082.0,168659.0,268245.0,13590.0,0.0,1581318.0,-43288.0,80844.0,-222648.0,75813.0,21792.0,0.0,42459.0,-244144.0
17,ATT,2010-04-30,1901784.0,1572293.0,82123.0,123834.0,123534.0,391040.0,92368.0,422206.0,11919.0,17282.0,164.0,417007.0,0.0,417007.0,0.0,400758.0,390953.0,2272354.0,182954.0,2038415.0,3501.0,47359.0,125.0,974347.0,269787.0,419234.0,279450.0,279450.0,5751.0,125.0,3246701.0,1502176.0,195582.0,0.0,209990.0,447926.0,366989.0,591233.0,281699.0,0.0,5141.0,326459.0,929610.0,51537.0,0.0,3246701.0,115161.0,92328.0,-63996.0,94979.0,-16393.0,0.0,0.0,34772.0
18,ATT,2011-03-21,5338029.0,4151389.0,151617.0,312087.0,722936.0,34000.0,175609.0,581327.0,19129.0,39750.0,2850.0,563556.0,0.0,563556.0,0.0,498941.0,461527.0,3308229.0,292124.0,2747478.0,1201.0,142550.0,124876.0,1638000.0,653171.0,722958.0,245044.0,244791.0,16702.0,125.0,4946229.0,2750470.0,320577.0,0.0,680688.0,402197.0,639017.0,754181.0,168754.0,0.0,66798.0,388968.0,1154545.0,164812.0,0.0,4946229.0,-167125.0,188864.0,-338520.0,344034.0,462189.0,594278.0,0.0,-43456.0
19,ATT,2012-03-20,7098735.0,6107680.0,181916.0,390733.0,418406.0,49024.0,95698.0,371732.0,42741.0,38672.0,8549.0,384350.0,0.0,384350.0,0.0,315301.0,294376.0,3552652.0,290467.0,2845691.0,4890.0,392802.0,18802.0,1804389.0,839561.0,682068.0,262519.0,243440.0,19894.0,347.0,5357041.0,3076620.0,320577.0,0.0,680688.0,414078.0,718725.0,697317.0,200017.0,0.0,64789.0,411114.0,1147618.0,185495.0,0.0,5357041.0,543780.0,239592.0,-596148.0,397294.0,45970.0,0.0,0.0,-6398.0
20,ATT,2013-03-21,9821023.0,8436709.0,447750.0,706391.0,230173.0,601010.0,128558.0,702625.0,73761.0,56225.0,12361.0,732522.0,0.0,732522.0,-554.0,713525.0,679593.0,6635580.0,527716.0,5791013.0,3408.0,206360.0,107083.0,3325950.0,1170626.0,1313670.0,819846.0,713024.0,21016.0,792.0,9961530.0,5561457.0,495977.0,0.0,2418270.0,709194.0,1412617.0,1313547.0,604140.0,0.0,78968.0,755411.0,2278262.0,281607.0,0.0,9961530.0,990497.0,550166.0,-688538.0,911834.0,169451.0,0.0,170813.0,471410.0
21,ATT,2014-03-21,9898476.0,8231565.0,581145.0,739977.0,345789.0,58421.0,101980.0,302230.0,45767.0,58398.0,13940.0,303539.0,0.0,303539.0,-753.0,265055.0,231350.0,6781085.0,523015.0,5966287.0,2932.0,197235.0,91616.0,3167247.0,1347826.0,1168109.0,627087.0,558603.0,24118.0,107.0,9948332.0,5759039.0,495977.0,0.0,2418270.0,729097.0,1195845.0,1425553.0,509259.0,0.0,79375.0,698708.0,2264351.0,250164.0,0.0,9948332.0,819781.0,520175.0,-648066.0,676398.0,-328041.0,0.0,41768.0,-156326.0
22,ATT,2015-03-16,10024405.0,7760211.0,633314.0,736546.0,894334.0,47664.0,111987.0,830011.0,42910.0,47576.0,13737.0,839082.0,0.0,839082.0,0.0,691848.0,609499.0,7224923.0,545348.0,6429767.0,1797.0,180016.0,67995.0,3552246.0,1180599.0,1080448.0,1256029.0,753144.0,32047.0,3123.0,10777169.0,6367288.0,495977.0,0.0,2418270.0,768933.0,1785146.0,1347227.0,118880.0,0.0,57658.0,721584.0,1855802.0,332037.0,0.0,10777169.0,1630226.0,484810.0,-1503373.0,1061762.0,68518.0,0.0,25544.0,195371.0
