,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
10,ATR,2019-05-14,58623.0,47437.0,0.0,5532.0,5654.0,292.0,569.0,5377.0,251.0,299.0,0.0,5329.0,0.0,5329.0,0.0,4282.0,4161.0,44081.0,4999.0,31893.0,466.0,2838.0,3885.0,96402.0,4538.0,72183.0,18787.0,18787.0,894.0,0.0,140483.0,68659.0,4580.0,0.0,19457.0,2295.0,10391.0,46127.0,6259.0,0.0,782.0,3601.0,59138.0,5970.0,0.0,140483.0,-12660.0,615.0,-1204.0,1384.0,-975.0,35.0,0.0,-14839.0
11,ATR,2020-05-22,34541.0,27240.0,0.0,4033.0,3268.0,223.0,207.0,3284.0,300.0,378.0,0.0,3206.0,0.0,3206.0,0.0,2422.0,2317.0,46697.0,4880.0,32187.0,483.0,2838.0,6309.0,78270.0,4101.0,53199.0,20092.0,20092.0,878.0,0.0,124967.0,71059.0,4580.0,0.0,19457.0,2400.0,12963.0,27185.0,6742.0,0.0,734.0,6888.0,38545.0,3884.0,0.0,124967.0,1919.0,678.0,-233.0,566.0,-866.0,0.0,0.0,820.0
12,ATR,2021-05-14,32821.0,27582.0,0.0,3965.0,1274.0,707.0,62.0,1919.0,74.0,253.0,0.0,1740.0,0.0,1740.0,0.0,1513.0,1618.0,46102.0,3349.0,32706.0,757.0,2838.0,6452.0,67616.0,3930.0,60955.0,2107.0,2107.0,624.0,0.0,113718.0,70901.0,4615.0,0.0,19457.0,0.0,13067.0,24338.0,3262.0,0.0,634.0,7653.0,29750.0,1516.0,0.0,113718.0,-10004.0,699.0,-3567.0,1329.0,-938.0,0.0,0.0,-14509.0
13,ATR,2022-05-27,26701.0,23653.0,0.0,4020.0,-972.0,306.0,171.0,-837.0,2.0,459.0,0.0,-1294.0,0.0,-1294.0,0.0,-1045.0,-1045.0,47719.0,3215.0,32482.0,1526.0,2838.0,7658.0,69284.0,3951.0,63847.0,446.0,446.0,1040.0,0.0,117003.0,69869.0,4615.0,0.0,19457.0,0.0,13447.0,24064.0,8492.0,0.0,514.0,8643.0,33687.0,617.0,0.0,117003.0,-5522.0,722.0,-403.0,419.0,-968.0,0.0,0.0,-6893.0
14,ATR,2023-05-26,60874.0,53574.0,0.0,4534.0,2766.0,468.0,513.0,2721.0,25.0,498.0,0.0,2248.0,0.0,2248.0,0.0,1782.0,1782.0,47923.0,3248.0,32115.0,1462.0,2854.0,8244.0,101812.0,4077.0,93542.0,3317.0,3317.0,876.0,0.0,149735.0,71652.0,4615.0,4000.0,19457.0,0.0,13915.0,49729.0,12084.0,0.0,398.0,9698.0,64168.0,1957.0,0.0,149735.0,738.0,728.0,-487.0,471.0,-975.0,35.0,0.0,-724.0
15,ATR,2009-08-27,28855.0,21685.0,0.0,3502.0,3668.0,78.0,35.0,3711.0,329.0,623.0,0.0,3417.0,0.0,3417.0,0.0,2736.0,2384.0,14997.0,1451.0,11456.0,371.0,0.0,1719.0,34776.0,3712.0,29445.0,731.0,703.0,888.0,0.0,49773.0,16974.0,3013.0,0.0,0.0,1156.0,2646.0,20015.0,7658.0,0.0,0.0,1839.0,28997.0,1324.0,0.0,49773.0,-411.0,745.0,-5630.0,2047.0,-1157.0,0.0,0.0,-7198.0
16,ATR,2010-08-27,28173.0,19848.0,0.0,3618.0,4707.0,134.0,157.0,4684.0,109.0,169.0,0.0,4624.0,0.0,4624.0,0.0,3898.0,3760.0,17464.0,1559.0,13477.0,510.0,0.0,1918.0,39203.0,4461.0,30531.0,3246.0,3159.0,965.0,0.0,56667.0,20817.0,3013.0,0.0,0.0,1294.0,2758.0,20775.0,9260.0,0.0,0.0,1630.0,31798.0,1763.0,0.0,56667.0,3107.0,605.0,-1855.0,1893.0,-401.0,0.0,0.0,851.0
17,ATR,2011-08-31,37199.0,28934.0,0.0,5498.0,2767.0,376.0,175.0,2968.0,66.0,2451.0,0.0,583.0,0.0,583.0,0.0,231.0,280.0,21695.0,3032.0,15370.0,700.0,0.0,2593.0,72717.0,3692.0,39429.0,28791.0,28791.0,805.0,0.0,94412.0,42043.0,4510.0,0.0,19457.0,1244.0,3872.0,31646.0,11559.0,0.0,712.0,2201.0,47253.0,3336.0,0.0,94412.0,7444.0,704.0,-5587.0,2326.0,21991.0,22760.0,0.0,23848.0
18,ATR,2012-08-31,27318.0,20103.0,0.0,3417.0,3798.0,65.0,72.0,3791.0,530.0,917.0,0.0,3404.0,0.0,3404.0,0.0,2322.0,2174.0,24026.0,3142.0,17579.0,461.0,0.0,2844.0,60537.0,4582.0,35517.0,19500.0,19500.0,938.0,0.0,84563.0,43727.0,4510.0,0.0,19457.0,1393.0,5511.0,25362.0,4634.0,0.0,680.0,3098.0,33932.0,3256.0,0.0,84563.0,-2260.0,538.0,-726.0,678.0,-380.0,0.0,0.0,-3366.0
19,ATR,2013-08-30,35481.0,27676.0,0.0,4572.0,3233.0,139.0,144.0,3228.0,190.0,-120.0,0.0,3538.0,0.0,3538.0,0.0,2609.0,2479.0,30917.0,3223.0,23298.0,584.0,0.0,3812.0,65366.0,3764.0,43388.0,17470.0,17470.0,744.0,0.0,96283.0,46604.0,4510.0,0.0,19457.0,1648.0,10763.0,30437.0,3741.0,0.0,765.0,5004.0,37268.0,2325.0,0.0,96283.0,4386.0,544.0,-8061.0,7761.0,3438.0,0.0,0.0,-237.0
