,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
10,ATR,2019-03-14,-7.2,-3.58,-44.72,2.09,-233.62,-105.65,-51.4,-155.13,32.0,29.94,100.37,-76.96,,-76.96,,-77.25,-77.25,-12.2,-48.5,1.69,-100.0,525.93,-93.28,-1.23,-24.87,3.79,-36.91,-76.8,86.17,-100.0,-5.63,-30.07,0.0,,0.0,,-47.77,-9.76,294.84,,,-89.7,31.19,236.79,,-5.63,-293.0,8.05,70.66,-75.0,418.22,,,-239.74
11,ATR,2020-04-10,-29.9,-33.1,59.62,-36.13,81.34,5247.46,-14.66,113.88,248.48,-6.15,-100.0,103.6,,103.6,,129.15,129.15,-0.92,-90.18,-8.19,,2.49,691.07,5.37,21.98,-2.54,77.54,-83.45,66.84,,3.02,7.81,0.0,,0.0,,-31.78,-30.15,6.0,,13.26,70.87,2.18,129.96,,3.02,118.33,9.14,-1289.2,105.86,-104.3,,,74.79
12,ATR,2021-03-20,16.37,14.59,-14.27,8.77,212.52,80.74,-64.57,538.96,373.04,22.41,,1943.39,,1943.39,100.0,166.67,166.67,6.79,-79.59,-49.2,,655.37,-3.46,35.94,-75.35,38.08,67.88,1172.64,-34.01,,25.48,21.1,0.0,,0.0,,152.04,127.05,-47.24,,73.02,79.76,22.97,-55.76,,25.48,290.91,3.85,137.95,-100.0,-1997.73,,,332.55
13,ATR,2022-03-25,10.12,7.93,-2.9,11.98,163.29,-70.4,56.19,-28.8,75.92,131.06,,-46.58,,-46.58,,-59.03,-59.03,-6.8,-80.0,-8.27,-13.06,-0.47,-24.9,-17.8,-7.1,-21.28,-17.75,-97.55,137.88,,-14.44,-9.19,0.0,,0.0,,-14.24,-35.94,24.35,,-19.84,-19.52,-18.01,58.76,,-14.44,-61.47,-8.19,-84.59,,16.5,,,-205.87
14,ATR,2023-04-03,28.59,25.49,45.14,20.94,126.85,-22.03,-29.76,90.44,71.68,18.2,,138.11,,138.11,,135.34,135.34,3.97,-50.0,-14.79,13.2,11.45,52.83,45.19,-23.57,27.31,194.85,127.27,-100.0,,31.48,14.04,0.0,,0.0,,55.01,31.76,27.76,,-7.37,88.7,42.35,87.18,,31.48,370.04,-8.61,-8966.47,11.34,92.64,,-83.34,103.19
15,ATT,2008-06-19,4.44,4.44,1.36,21.86,-8.51,-3.2,-39.18,6.37,177.35,286.52,-17.7,2.38,,2.38,,16.97,14.16,4.56,-0.81,-1.78,29600.0,213.72,70.37,69.29,15.76,13.27,364.15,-16.69,-100.0,0.0,20.56,33.45,62.98,,,149.35,-6.26,96.23,262.75,,5861.82,-16.78,-1.23,-89.88,,20.56,-39.12,-5.49,-293.69,45.76,7901.45,,-93.21,-198.43
16,ATT,2009-04-30,-10.17,-5.12,5.99,2.36,-101.59,-38.53,31.24,-116.1,128.27,85.32,-64.52,-108.11,,-108.11,,-105.01,-105.86,-5.53,32.83,-2.4,128.11,-63.19,4.53,6.28,32.23,-7.49,1.09,443.72,,8657.14,-1.43,-3.7,0.0,,0.0,-37.59,-10.96,-11.11,420.45,,-95.88,-3.15,20.53,-1.88,,-1.43,-169.62,10.92,41.56,-48.01,-92.96,-100.0,4145.9,-2588.81
17,ATT,2010-04-30,56.57,49.52,26.9,24.18,9190.07,2376.35,220.89,3041.59,-76.77,-60.82,396.97,5949.45,,5949.45,,10815.45,9301.06,129.66,723.41,125.83,158.38,86.56,-99.67,64.63,49.16,171.91,9.08,13.37,,-79.61,105.32,35.19,0.0,,0.0,20608.55,83.7,312.38,155.62,,375.14,93.56,246.55,279.23,,105.32,366.03,14.21,71.26,25.28,-175.22,,-100.0,114.24
18,ATT,2011-03-21,180.69,164.03,84.62,152.02,485.21,-91.31,90.12,37.69,60.49,130.01,1637.8,35.14,,35.14,,24.5,18.05,45.59,59.67,34.79,-65.7,201.0,99800.8,68.11,142.11,72.45,-12.31,-12.4,190.42,0.0,52.35,83.1,63.91,,224.15,-10.21,74.12,27.56,-40.09,,1199.32,19.15,24.2,219.79,,52.35,-245.12,104.56,-428.97,262.22,2919.43,,,-224.97
19,ATT,2012-03-20,32.98,47.12,19.98,25.2,-42.12,44.19,-45.51,-36.05,123.44,-2.71,199.96,-31.8,,-31.8,,-36.81,-36.22,7.39,-0.57,3.57,307.16,175.55,-84.94,10.16,28.54,-5.66,7.13,-0.55,19.11,177.6,8.31,11.86,0.0,,0.0,2.95,12.47,-7.54,18.53,,-3.01,5.69,-0.6,12.55,,8.31,425.37,26.86,-76.1,15.48,-90.05,-100.0,,85.28
20,ATT,2013-03-21,38.35,38.13,146.13,80.79,-44.99,1125.95,34.34,89.01,72.58,45.39,44.59,90.59,,90.59,,126.3,130.86,86.78,81.68,103.5,-30.31,-47.46,469.53,84.33,39.43,92.6,212.3,192.9,5.64,128.24,85.95,80.77,54.71,,255.27,71.27,96.54,88.37,202.04,,21.88,83.75,98.52,51.81,,85.95,82.15,129.63,-15.5,129.51,268.61,,,7468.08
21,ATT,2014-03-21,0.79,-2.43,29.79,4.75,50.23,-90.28,-20.67,-56.99,-37.95,3.86,12.77,-58.56,,-58.56,-35.92,-62.85,-65.96,2.19,-0.89,3.03,-13.97,-4.42,-14.44,-4.77,15.14,-11.08,-23.51,-21.66,14.76,-86.49,-0.13,3.55,0.0,,0.0,2.81,-15.35,8.53,-15.71,,0.52,-7.51,-0.61,-11.17,,-0.13,-17.24,-5.45,5.88,-25.82,-293.59,,-75.55,-133.16
22,ATT,2015-03-16,1.27,-5.73,8.98,-0.46,158.64,-18.41,9.81,174.63,-6.24,-18.53,-1.46,176.43,,176.43,100.0,161.02,163.45,6.55,4.27,7.77,-38.71,-8.73,-25.78,12.16,-12.41,-7.5,100.3,34.83,32.88,2818.69,8.33,10.56,0.0,,0.0,5.46,49.28,-5.49,-76.66,,-27.36,3.27,-18.04,32.73,,8.33,98.86,-6.8,-131.98,56.97,120.89,,-38.84,224.98
23,ATT,2016-03-11,-10.66,-9.82,5.68,-0.94,-37.51,-0.6,7.28,-41.44,-20.24,-6.8,10.43,-41.47,,-41.47,,-45.78,-43.67,5.9,88.14,-0.65,248.3,3.11,-32.72,-4.27,-27.32,-0.31,15.96,-14.8,-74.75,-77.87,2.55,2.62,0.0,,0.0,-22.57,16.09,18.98,-56.23,,17.04,-5.04,-0.3,-61.5,,2.55,-31.56,7.2,13.32,16.9,8.58,,277.87,-157.83
24,ATT,2017-04-28,7.39,6.57,0.63,3.86,30.35,5.95,51.01,22.87,-6.19,55.45,5.57,17.37,,17.37,,30.3,33.01,5.47,-11.81,6.14,2102.43,-4.31,52.84,7.87,16.92,3.3,5.1,69.22,34.48,1427.5,6.21,4.93,0.0,,0.0,-1.3,12.75,10.37,34.93,,-53.35,6.85,5.82,-31.85,,6.21,-0.14,13.46,45.58,-13.87,-26.76,,3.93,506.67
25,ATT,2018-04-19,3.97,12.72,-2.22,7.21,-83.31,-1.19,-50.29,-86.44,71.48,57.75,-18.25,-92.99,,-92.99,,-98.44,-97.86,22.51,100.55,13.07,34.49,-18.49,8.61,16.52,49.91,45.7,-26.48,-22.04,33.96,-14.26,20.64,-2.23,0.0,,0.0,6.39,52.22,46.86,416.49,,529.33,40.64,67.28,33.63,,20.64,-2.84,15.9,-148.37,2.63,695.47,,43.89,-153.42
